Time (s);Electrode;Attention;Meditation;Sampling Rate
1.546875;1159.000000;43.000000;75.000000;
1.548828;1148.000000;43.000000;75.000000;
1.550781;1131.000000;43.000000;75.000000;
1.552734;1113.000000;43.000000;75.000000;
1.554688;1113.000000;43.000000;75.000000;
1.556641;1142.000000;43.000000;75.000000;
1.558594;1187.000000;43.000000;75.000000;
1.560547;1204.000000;43.000000;75.000000;
1.562500;1179.000000;43.000000;75.000000;
1.564453;1147.000000;43.000000;75.000000;
1.566406;1126.000000;43.000000;75.000000;
1.568359;1122.000000;43.000000;75.000000;
1.570313;1114.000000;43.000000;75.000000;
1.572266;1092.000000;43.000000;75.000000;
1.574219;1062.000000;43.000000;75.000000;
1.576172;1028.000000;43.000000;75.000000;
1.578125;971.000000;43.000000;75.000000;
1.580078;898.000000;43.000000;75.000000;
1.582031;828.000000;43.000000;75.000000;
1.583984;778.000000;43.000000;75.000000;
1.585938;728.000000;43.000000;75.000000;
1.587891;676.000000;43.000000;75.000000;
1.589844;619.000000;43.000000;75.000000;
1.591797;557.000000;43.000000;75.000000;
1.593750;501.000000;43.000000;75.000000;
1.595703;475.000000;43.000000;75.000000;
1.597656;445.000000;43.000000;75.000000;
1.599609;405.000000;43.000000;75.000000;
1.601563;392.000000;43.000000;75.000000;
1.603516;375.000000;43.000000;75.000000;
1.605469;290.000000;43.000000;75.000000;
1.607422;187.000000;43.000000;75.000000;
1.609375;100.000000;43.000000;75.000000;
1.611328;23.000000;43.000000;75.000000;
1.613281;-19.000000;43.000000;75.000000;
1.615234;-41.000000;43.000000;75.000000;
1.617188;-82.000000;43.000000;75.000000;
1.619141;-131.000000;43.000000;75.000000;
1.621094;-155.000000;43.000000;75.000000;
1.623047;-183.000000;43.000000;75.000000;
1.625000;-250.000000;43.000000;75.000000;
1.626953;-331.000000;43.000000;75.000000;
1.628906;-372.000000;43.000000;75.000000;
1.630859;-355.000000;43.000000;75.000000;
1.632813;-344.000000;43.000000;75.000000;
1.634766;-389.000000;43.000000;75.000000;
1.636719;-434.000000;43.000000;75.000000;
1.638672;-457.000000;43.000000;75.000000;
1.640625;-537.000000;43.000000;75.000000;
1.642578;-645.000000;43.000000;75.000000;
1.644531;-676.000000;43.000000;75.000000;
1.646484;-629.000000;43.000000;75.000000;
1.648438;-567.000000;43.000000;75.000000;
1.650391;-565.000000;43.000000;75.000000;
1.652344;-626.000000;43.000000;75.000000;
1.654297;-673.000000;43.000000;75.000000;
1.656250;-680.000000;43.000000;75.000000;
1.658203;-702.000000;43.000000;75.000000;
1.660156;-757.000000;43.000000;75.000000;
1.662109;-834.000000;43.000000;75.000000;
1.664063;-915.000000;43.000000;75.000000;
1.666016;-971.000000;43.000000;75.000000;
1.667969;-1026.000000;43.000000;75.000000;
1.669922;-1093.000000;43.000000;75.000000;
1.671875;-1137.000000;43.000000;75.000000;
1.673828;-1149.000000;43.000000;75.000000;
1.675781;-1165.000000;43.000000;75.000000;
1.677734;-1204.000000;43.000000;75.000000;
1.679688;-1261.000000;43.000000;75.000000;
1.681641;-1286.000000;43.000000;75.000000;
1.683594;-1261.000000;43.000000;75.000000;
1.685547;-1240.000000;43.000000;75.000000;
1.687500;-1222.000000;43.000000;75.000000;
1.689453;-1212.000000;43.000000;75.000000;
1.691406;-1134.000000;43.000000;75.000000;
1.693359;-1018.000000;43.000000;75.000000;
1.695313;-1013.000000;43.000000;75.000000;
1.697266;-1063.000000;43.000000;75.000000;
1.699219;-1020.000000;43.000000;75.000000;
1.701172;-902.000000;43.000000;75.000000;
1.703125;-812.000000;43.000000;75.000000;
1.705078;-779.000000;43.000000;75.000000;
1.707031;-740.000000;43.000000;75.000000;
1.708984;-668.000000;43.000000;75.000000;
1.710938;-604.000000;43.000000;75.000000;
1.712891;-564.000000;43.000000;75.000000;
1.714844;-507.000000;43.000000;75.000000;
1.716797;-434.000000;43.000000;75.000000;
1.718750;-405.000000;43.000000;75.000000;
1.720703;-439.000000;43.000000;75.000000;
1.722656;-451.000000;43.000000;75.000000;
1.724609;-379.000000;43.000000;75.000000;
1.726563;-292.000000;43.000000;75.000000;
1.728516;-242.000000;43.000000;75.000000;
1.730469;-216.000000;43.000000;75.000000;
1.732422;-155.000000;43.000000;75.000000;
1.734375;-60.000000;43.000000;75.000000;
1.736328;7.000000;43.000000;75.000000;
1.738281;42.000000;43.000000;75.000000;
1.740234;60.000000;43.000000;75.000000;
